,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,6.145717573165894,1.8978420210931728,0.0030508518218994142,0.0006769371050180914,0.01,2,1,1,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 1, 'subsample': 1}",0.16891227525904218,0.48069253474622653,0.5437615486501809,0.13845466225290493,0.10029105692039841,0.28642241556575054,0.18671490588036116,96
1,5.318698501586914,1.1916449209719158,0.003179168701171875,0.0005537728500191083,0.01,2,1,0.7,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 1, 'subsample': 0.7}",0.15256169393620522,0.47074656241824453,0.5232495017224323,0.12841222336479186,0.11087245184987127,0.2771684866583091,0.18074179773613921,119
2,4.299545860290527,0.4346985945048802,0.0030930042266845703,0.0003103448771556574,0.01,2,1,0.4,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 1, 'subsample': 0.4}",0.1525617146253918,0.42536546636073613,0.3788650560804929,0.13272271629205512,0.0980458040095532,0.2375121514736458,0.136321514132012,189
3,4.147275114059449,0.5372803345373908,0.0037107944488525392,0.0004776074482044404,0.01,2,1,0.1,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 1, 'subsample': 0.1}",0.1560028570042794,0.44637290016477515,0.407344927140197,0.12959970551685984,0.09185167323806687,0.24623441261283566,0.1493930592996949,182
4,6.522327423095703,1.3985879637981222,0.0041750907897949215,0.0009327892413254058,0.01,2,5,1,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 1}",0.17840000838105374,0.5016385398906691,0.5812184114786455,0.14622467728083777,0.10840131443613077,0.3031765902934674,0.19740056040612633,48
5,4.708741474151611,0.5116000144915827,0.0035311222076416016,0.0010147581926817975,0.01,2,5,0.7,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.7}",0.1645565072775752,0.48123430527231836,0.5396740905983757,0.14473946057457499,0.10790466103727625,0.28762180495202405,0.1837796716849809,93
6,4.404052877426148,0.5183293807779603,0.0029589653015136717,0.0002510225605031805,0.01,2,5,0.4,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.4}",0.17612511012121523,0.4504922474801065,0.5081766368565519,0.1347111834176712,0.09680450364713189,0.2732619363045353,0.17109330752625065,139
7,4.6959301948547365,0.36344708894831834,0.004866647720336914,0.0033795088162686883,0.01,2,5,0.1,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.1}",0.19052272032718087,0.5005438417965451,0.5077733311881545,0.14441104048009057,0.09743969288682564,0.2881381253357594,0.17883397126363976,90
8,5.450659847259521,1.1603368995398398,0.0026451587677001954,0.0004508822145322204,0.01,2,10,1,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 1}",0.19187832084278622,0.510683834373767,0.5794710273492543,0.15428486628700933,0.11186250990132107,0.3096361117508276,0.19511349149820933,32
9,4.8173667907714846,1.2028225592948685,0.0034874916076660157,0.0009798324473252922,0.01,2,10,0.7,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.7}",0.18903751835362992,0.48985136489956305,0.5530616405501072,0.14623670072039252,0.10532289966242414,0.29670202483722335,0.18648557553096967,66
10,4.452462863922119,0.5005292826164585,0.0029326915740966798,0.0003074569159865778,0.01,2,10,0.4,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.4}",0.19835078767201586,0.4785239331968355,0.5419545894234932,0.1456456740483817,0.10223984281494758,0.29334296543113475,0.18080826175683382,78
11,4.568443679809571,0.2544107073232201,0.003236818313598633,0.000440918802199376,0.01,2,10,0.1,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.1}",0.191834606612712,0.523693460364622,0.5752950854132332,0.15440652231837082,0.09652656584261321,0.3083512481103103,0.1998880101534039,33
